global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	c_comp_cor_26	c_comp_cor_27	c_comp_cor_28	c_comp_cor_29	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
10021.507704967487	n/a	100430616.68072271	n/a	9407.821537519128	n/a	88507106.08180878	n/a	6713.571110483809	n/a	45072037.05552281	n/a	6617.681620087477	11174.684667018148	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0311779	n/a	n/a	0.00097206144841	0.0	n/a	n/a	0.0	-0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a
9972.291476689748	-49.21622827773899	99446597.296059	2422.237125886515	9250.351615017737	-157.46992250139192	85569005.00146125	24796.776492594377	6717.970116249634	4.399005765824768	45131122.48282312	19.351251727759557	6618.59893531556	11109.170045333516	1.090059	42.11216	0.0629723	0.0629723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0941502	0.0629723	0.00396551056729	0.00886426016004	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9937.7962815578	-34.495195131949004	98759794.93374404	1189.9184871912382	9152.747975985609	-97.60363903212784	83772795.51190865	9526.470352313909	6714.182338842362	-3.787777407272188	45080244.479222685	14.347257687041616	6614.517637506656	10997.199340691175	1.057933	40.871037	0.0084197999999999	0.00841947	-0.0803357629	-0.0101170352	0.0661562389	0.0421102693	-0.0198195517	0.0533130617	-0.0342343147	-0.0546412073	-0.0662528571	0.073131667	-0.0072033208	0.1041114348	-0.2210751744	0.0131179104	-0.1103838954	0.1749820647	-0.0819821846	0.0591713925	0.0692142264	-0.0421250699	0.0022263754	-0.2944751215	0.0650011017	-0.2353034628	0.0577889245	-0.0770760745	0.1121341976	-0.0267401744	0.0413595736	-0.1312573612	0.1190476203	0.1511892739	-0.0083835391	0.060936597	-0.0856726266	0.1167402626	-0.0157715346	-0.0099136009	0.0783447679	0.0577628729	-0.0645685117	0.0529817482	0.0038724882	-0.0776359832	0.1311031579	-0.0855214613	0.0260637952	-0.0244793172	0.0667263426	-0.0015618313	0.0759683938	0.0643381908	-0.006353433	0.0652563327	-0.0121103877	0.1292087922	-0.0703623781	0.0294878682	-0.0614593075	0.078262294	-0.002788461	0.0390911609	-0.0122836018	0.0201889586	-0.0368365048	-0.0214311989	0.0133537859	0.0609947389	-0.0965149246	0.032362047	0.0161986543	-0.0415159562	-0.0182447531	0.0331862827	0.0041887483	0.0290258435	-0.0823690808	0.0645914142	0.0391439066	-0.0931950598	-0.0450449612	-0.0640705143	0.0318549438	0.0139731716	0.0016955129	-0.032250479	-0.030345064	-0.1102501445	0.0313445503	0.0557678438	-0.1122690535	-0.0689682089	-0.0823777843	0.1402950321	-0.0604673301	-0.0441437516	-0.0273742846	-0.0350209331	-0.0310373084	-0.0323210722	0.1533121731	-0.0167478255	-0.0348506977	-0.0532155541	0.0876988558	0.0296873586	0.0304749277	0.0577339043	-0.0992219636	-0.0142096944	-0.0202335797	-0.0071281537	-0.0034741454	0.06305531	0.03702977	0.0133830604	-0.0605155382	-0.039155325	-0.0069209022	0.0855459488	-0.0581689177	0.0724957959	-0.0020956797	0.0387179124	-0.1183173033	0.086529609	-0.0582487063	0.0862804602	-0.0030580608	0.0045249167	-0.024909792	0.0704035093	-0.0610929752	0.1144554268	-0.0501402258	0.0154648112	-0.0640221222	0.0997536203	-0.0165414734	0.0007133956	-0.067223099	0.0031478824	-0.0223217477	0.0204003271	-0.0168214714	0.0635230046	-0.0282105944	0.0486398364	-0.0673288895	-0.0132374104	0.0273113579	0.0029335141	-0.0048410766	-0.0732379966	0.0764529714	-0.0862452826	-0.0394573352	-0.0283105432	0.0420970267	0.0128222028	0.0322199788	-0.0626220174	-0.0197064416	0.0139027014	0.1518302538	-0.0018177202	-0.0845388156	0.0813318286	0.0391754966	0.0467278078	0.0995419193	-0.0103869618	-0.1251031768	0.1110865598	0.0168816065	0.00590319	0.0178633143	-0.1436768672	-0.0233970244	-0.0905238887	0.0525970893	0.0479456792	0.0443852106	-0.0113051709	-0.0311282753	-0.0481669193	-0.0089824617	-0.01879223	0.0894572447	0.0525109351	-0.0288206128	-0.0788983223	-0.0447198095	-0.0653623817	0.0492052622	0.0622810417	0.0372814713	0.0010449373	-0.0194521609	-0.0812594339	0.0220020209	0.0300017808	-0.0934638405	0.1070808344	-0.0146100226	0.0254946293	-0.1570488113	0.0243101003	-0.1379212514	0.0555607584	-0.0576572601	0.0934204903	-0.0604093477	0.0494360457	-0.096204164	0.0757752205	-0.1401124214	0.1190356528	-0.0453783372	0.0014520336	-0.171700512	0.0416444833	0.102594329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10257	0.0084197999999999	7.089303203999984e-05	0.0105206049	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9930.201013355228	-7.595268202570878	98608892.1656412	57.68809906898426	9096.555760618745	-56.19221536686382	82747326.70604607	3157.5650678360066	6710.364815433746	-3.817523408615671	45028995.95621117	14.573484975328608	6609.073163847457	10920.98555937446	1.051682	40.62952	0.0446473	0.0326184	-0.0164569618	0.1170625059	0.0774864958	-0.0862323699	-0.0428298643	0.0139543978	0.0502675576	-0.1152098013	0.0124964545	-0.0903519918	-0.0535456749	0.096493164	-0.1444213846	0.0043342172	0.1209579867	0.1725760296	-0.1003990612	-0.0380483196	-0.0245986116	0.0119855699	0.0205159643	-0.2029767012	-0.0134666683	-0.2920800109	4.07835e-05	-0.03451697	0.1107187542	-0.034973552	0.1088040799	-0.0412379637	0.0841695	-0.0362081634	-0.0320742506	0.0308342683	-0.1121881889	-0.1430824422	0.0458917551	0.0978684858	0.0060893934	-0.0781384577	-0.0774103015	-0.0913747076	-0.0839226681	-0.0300675545	0.1388296561	0.027785104	0.1316526246	-0.0666730529	-0.0400651385	0.0402608312	0.1097956357	-0.0275760722	0.0201673285	0.1530978908	0.0129501565	0.0535559476	-0.040405637	0.0941836604	0.0355678197	-0.0577614868	-0.0658443334	-0.0169354837	0.0826467032	-0.0424946255	0.0007954758	-0.1103954678	-0.005791556	0.074206026	0.0535115576	-0.0370591921	-0.0363030255	0.1020904281	0.0460030763	-0.0918557347	0.0262796787	-0.017376072	-0.0835342516	0.1180875814	0.0233711384	-0.070299008	-0.0797310898	-0.0485859828	-0.0451849198	0.0610643493	0.061004951	0.0887636266	-0.0152175538	-0.1836203876	-0.1535562758	0.1591168095	-0.0321899731	-0.0250335038	-0.056647684	0.0790385469	0.0327531705	0.041197321	-0.1031877816	-0.0600669789	-0.0144025637	-0.057059722	-0.0924306571	0.0111312268	0.0096514611	-0.0124798846	0.1295225971	0.0550655794	-0.0307264195	-0.0394934904	-0.0671679991	0.0635979885	-0.0300783322	0.0729455125	-0.0510390008	-0.020216521	0.0834411289	0.0370297486	-0.0978040204	-0.1216243207	-0.1005594217	-0.0053635576	0.0806245919	-0.082585573	-0.0118633228	-0.0700055574	-0.0899318778	0.0412889125	-0.067717502	0.1388214452	0.1332028378	-0.0110515374	-0.0737440015	0.0059603611	0.031246919	0.1212058865	-0.008418973	-0.0774530833	-0.1487155661	0.000670611	-0.0998366691	-0.0134464336	-0.0023672438	-0.0636402055	-0.0444569785	-0.0016579807	0.0052525441	-0.0434819782	-0.0701244057	0.0062643462	-0.0655953691	0.0647350333	0.0153279453	-0.155210163	0.0467935662	-0.0040996899	-0.0225798931	-0.1745594109	0.0128543976	-0.0193135363	0.0051181189	0.0414293392	0.0158219728	-0.1687175653	0.0961144795	0.0025638155	0.2124997563	0.117784546	-0.0471784981	-0.0401933405	0.0599238523	-0.004317753	0.0533060828	-0.0610305134	-0.0987822934	0.0396559007	-0.013918904	-0.00403784	-0.1116674124	-0.1282837999	0.076213234	-0.0083562734	-0.0107422648	-0.0263204571	0.0283285034	0.0824808614	0.0743693405	-0.0199701216	-0.1098179051	0.1162078847	0.0578254743	-0.0690255368	-0.0301905034	0.0126277415	-0.1031715326	-0.0489919514	0.0605039153	-0.0429271959	0.0462020301	-0.1434722068	0.1213777862	-0.0180606259	-0.1079651032	-0.0480262746	-0.0503983557	0.1284144164	-0.0234372931	0.0280809681	0.01015755	-0.0548776514	-0.1212120912	-0.0292953845	0.1819513289	0.1089415456	-0.1168344487	0.0130484843	-0.1781463823	0.1774910903	-0.0577457719	0.0862450341	-0.060517344	-0.1353313906	-0.114948016	0.09783017	0.1025662807	0.0	0.0	0.0	0.0	0.0	0.0	0.0165233	0.0165233	0.00027301944289	0.00027301944289	0.074446	-0.0281239999999999	0.0007909593759999	0.005542206916	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9929.878011205185	-0.3230021500439761	98602477.31741624	0.1043303889330312	9041.219659683553	-55.33610093519201	81743652.93464838	3062.0840667097577	6705.715013206173	-4.649802227572764	44966613.83833867	21.620660755540637	6604.60762218912	10980.766268710116	1.052458	40.659508	0.0503013	0.037603	0.1159982951	0.0295651064	0.098496508	-0.0045022047	-0.0376424238	0.0572147677	0.0248540419	0.0393853403	0.0806268543	-0.0686730141	0.0489336784	0.059165189	-0.0953320117	0.0257006387	-0.0932845859	0.113504708	-0.0677405902	0.0944143459	-0.065395141	0.0527384717	-0.0339885203	-0.0870793238	-0.0101493393	-0.0891462934	0.000301473	0.0027923115	0.0643576143	-0.0340402193	0.1250581218	0.0455157671	0.1135144614	0.0960074559	-0.0495112793	0.0617672396	0.0565022037	-0.1421624465	-0.0382368672	-0.0274078247	-0.1208941534	-0.0052061937	-0.0683261123	0.1031310755	0.0290768031	0.0106959373	0.0535690907	0.0315949257	0.1070343794	0.0666594762	-0.0468255928	-0.0643681868	-0.0823493076	0.0412301785	-0.040177615	0.0243263512	0.0220733157	0.0328569581	-0.0833555427	0.0154705149	-0.0027822766	-0.0189902012	-0.0439695709	-0.0195181037	-0.0456405251	-0.0265762922	0.0175566351	-0.0363371823	0.0537600188	0.0605573669	0.1179130804	-0.0103449801	0.1769439297	0.1615659186	-0.0423468422	-0.0164159112	-0.1267106441	0.1228561832	0.0168411703	-0.0198030977	-0.0255368732	-0.0191113783	0.0143266728	0.0025478102	-0.0094285377	-0.069217363	0.1280930228	0.1545316799	0.0443164213	-0.0486892966	-0.0395022522	0.0627277146	-0.0326050492	-0.0334054439	0.1413771398	-0.0208597389	0.1692476631	0.0100659697	-0.0900608924	-0.0127210122	0.0195636327	-0.0540074921	0.0238825956	-0.0433470171	0.054919634	0.1572507166	0.0650133326	-0.0172797286	0.0374932878	0.000548592	0.0186462742	-0.050875352	0.014807164	0.0588473265	-0.0311497802	-0.0270626011	-0.1019956676	0.050678539	-0.0500182211	-0.1224527216	0.0409766678	-0.1090438217	0.0128752732	0.1236759905	0.0305076959	-0.0178682483	-0.0292071768	-0.0201154174	-0.026999688	0.0690554797	0.0677614296	-0.0575514851	0.121327376	-0.0505990638	-0.0485096791	0.050833608	0.0019817979	0.0305066284	-0.0194287351	0.0176550048	-0.0852624139	0.005256742	0.0085332131	0.0110853539	-0.0088049484	-0.053399564	0.0895910596	0.0122439279	-0.0606085353	-0.1150906169	-0.0827326635	0.1451981812	0.1016680562	-0.0864080434	-0.0141323471	0.0048329015	0.0400266257	0.0196503464	0.0158800508	0.0556041818	0.0614684912	0.0689543842	-0.0041511142	-0.1384786259	0.0035117048	0.0277356549	-0.0819711034	0.1023478278	0.0303585167	-0.110942852	0.1081148788	0.0145185089	-0.0066804352	-0.0191246414	0.0699382268	0.0305413902	-0.0195716988	-0.0643764029	-0.0841684186	-0.0800264119	0.0111757687	0.1133712312	-0.0248839621	0.0674397143	-0.0107129413	-0.2218129749	-0.0395757826	0.0139834687	-0.1089823789	0.0838238322	0.0336225628	0.0560914905	-0.001735485	-0.0179814256	0.0002410734	-0.0637636049	0.0670570505	-0.1033716957	-0.0550399341	-0.0418657694	0.0330797386	0.1094374659	-0.042442239	0.0393128511	-0.0799810422	0.0155151833	0.1147327397	-0.0140439268	-0.0882633916	-0.0132914864	-0.089265869	-0.0703239476	0.0518012606	0.1423697765	-0.0924618664	0.0494867272	0.0177876178	0.1068541167	-0.0696010974	0.0735324792	0.0932003921	0.0092466994	-0.1256774398	0.0634065684	0.1025101919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0165233	0.0	0.00027301944289	0.108224	0.033778	0.001140953284	0.011712434176	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9924.152256324416	-5.725754880768363	98488798.006709	32.784268954642734	9063.40013227594	22.18047259238665	82145221.95773952	491.9733644216154	6717.07494019727	11.359926991096472	45119095.75222616	129.04794124304215	6615.917525122006	10987.64742377987	1.044904	40.367664	0.0222889999999999	0.0222885	-0.0150223067	-0.0608781313	0.0935438381	0.0910220678	-0.0436838346	0.0764429461	0.0011455508	0.0461083259	-0.0333445921	0.0614729464	0.026719655	0.0242007741	-0.1408889183	-0.0971097873	0.1024647183	0.0521800804	-0.0597478647	0.04722567	-0.0474082995	-0.0075086417	-0.0401478538	-0.0861180717	-0.0015802342	-0.1110253987	-0.0193202155	0.0475121715	0.0893443001	-0.0640621016	0.0926531499	-0.0451399548	-0.003554897	-0.0193149996	0.0796376969	0.0351337404	0.0379828782	0.0007866878	-0.0082670853	-0.0655110306	0.0238209623	0.1273715687	-0.0678675541	-0.0883898238	-0.0619259891	0.0684539042	0.1068204484	-0.0669681485	-0.0630866542	0.1276956177	6.73457e-05	-0.022236527	0.0270072898	0.0248331537	-0.0397553308	0.1165833859	0.0526465881	0.1577297182	0.1197589292	-0.0106873657	0.0336229801	0.0428731415	0.0258251143	-0.0902876321	0.0331380704	0.0674214614	0.0858576851	0.0884573736	0.0444664306	-0.0139858991	-0.0965580484	-0.0135911888	-0.0448359945	0.0343324474	-0.0187502439	0.0793233155	-0.061501711	0.0321117799	-0.0289635027	0.0296195604	0.0362698287	0.1342405577	0.2266290964	0.0261107759	-0.0416534322	-0.093051349	0.1055170208	-0.1319336018	0.0441163377	-0.079996748	0.0141001995	0.011745835	-0.1629419027	-0.1239190024	-0.0224778922	0.1042902962	-0.0502309753	-0.090667175	-0.1011142449	0.1168670896	-0.0301716575	-0.0139146733	0.0291976337	-0.0185842527	0.0525558813	0.0363831258	-0.0104461726	-0.0339287106	-0.0537692424	-0.0086449643	-0.0101387319	-0.0054558905	0.010435195	0.0157808827	0.0913044758	0.0137445859	-0.0587839576	0.0850990284	0.0099004047	-0.0441397596	0.066184762	0.0300117862	-0.1141649123	-0.0539080199	-0.0027544211	-0.1111231252	-0.0271985025	0.0480254308	-0.1622041118	-0.0229970338	-0.0342077144	0.0420394205	0.1164367255	0.0374567898	-0.0126184416	0.0862918319	-0.0720160168	0.0254412203	-0.1428202231	-0.0198656873	0.0957749208	-0.0926396437	-0.0099754838	-0.089387411	-0.0883964117	0.0630645004	0.1047653831	-0.0021164576	0.0447631733	0.064845776	-0.0248402076	-0.0620480075	0.0804539124	0.0669116308	0.0409116059	0.0299666181	-0.0094673101	0.0012828226	-0.0793736867	-0.0246283442	0.1467975297	0.0798722737	-0.1619544068	0.0630365979	-0.0312643516	-0.0666212275	0.0365064751	-0.1261311995	-0.0228776685	0.0828630353	0.1005244163	0.0874324635	0.0419359078	0.0860968166	-0.0311705345	0.0008850345	0.0120455193	0.0867491327	-0.0593854384	-0.1442864941	-0.2128813832	0.0559816727	-0.0105902975	0.0794820806	-0.0677256983	0.0093342443	-0.0349537372	-0.0381750622	0.0125460849	-0.0215515331	0.024380974	0.0091023187	0.0626816865	-0.1181760492	0.0031918087	-0.0520534874	0.0682928186	-0.0377146222	-0.0013036825	0.0564227834	-0.061008921	0.0017726075	0.0686799063	0.0848642914	-0.0699903243	0.099114553	-0.0497674606	-0.02790714	0.0359012535	-0.1298790251	-0.0657221262	0.0312097013	-0.0220807506	0.1655686876	-0.049580933	-0.0142215479	0.0503099807	0.0957914156	-0.0388893804	0.0392397193	-0.013235655	0.082393233	-0.0756506181	0.1311033049	0.1024260777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.130513	0.0222889999999999	0.0004967995209999	0.017033643169	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
