global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	c_comp_cor_17	c_comp_cor_18	c_comp_cor_19	c_comp_cor_20	c_comp_cor_21	c_comp_cor_22	c_comp_cor_23	c_comp_cor_24	c_comp_cor_25	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	w_comp_cor_53	w_comp_cor_54	w_comp_cor_55	w_comp_cor_56	w_comp_cor_57	w_comp_cor_58	w_comp_cor_59	w_comp_cor_60	w_comp_cor_61	w_comp_cor_62	w_comp_cor_63	w_comp_cor_64	w_comp_cor_65	w_comp_cor_66	w_comp_cor_67	w_comp_cor_68	w_comp_cor_69	w_comp_cor_70	w_comp_cor_71	w_comp_cor_72	w_comp_cor_73	w_comp_cor_74	w_comp_cor_75	w_comp_cor_76	w_comp_cor_77	w_comp_cor_78	w_comp_cor_79	w_comp_cor_80	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
8635.487869870014	n/a	74571650.75067215	n/a	6334.77944567823	n/a	n/a	40129430.625387385	5840.073588875681	n/a	34106459.52348328	n/a	5812.83871910845	7318.629297828783	n/a	n/a	n/a	n/a	-0.1242568053	-0.0529603933	0.0210833042	0.0143154474	-0.1523343899	0.0291475089	-0.0618002027	-0.1073750218	-0.1179507841	-0.1908399683	-0.100747858	-0.115910911	0.1729469538	-0.255200166	0.3338046973	-0.3993178844	0.1078040128	-0.0103540049	0.0789514975	-0.0890142007	0.1344038204	-0.1876446328	0.1020228456	-0.0348559591	0.1707779055	-0.1664536668	0.0631968725	-0.0714690285	0.0375071877	0.0433155324	-0.0715586086	0.0505809723	-0.0036772181	-0.0168041551	0.0675280817	0.0174905198	-0.1482944094	-0.0556925214	0.0735137516	-0.0224316758	0.1128794827	-0.0356912133	0.0584974374	-0.0165029301	0.0566295622	-0.0887248781	0.0462421953	-0.0172246376	0.0062392749	-0.1072756074	0.0039638666	-0.0440036024	0.0424729467	-0.007795723	0.0195655778	-0.0587722384	0.0149501775	0.0898458433	-0.0464056025	0.1370674308	-0.0549640035	0.043911751	-0.0073684923	-0.1217984801	0.0215495454	0.0633021514	-0.0792126631	0.0709509598	0.0355175892	-0.0591521493	-0.0261696062	0.098995665	0.0575585142	-0.1006312918	-0.0276306607	-0.1099085907	0.0370693232	0.1235787536	-0.0401840569	-0.0278207052	-0.0626067481	-0.0290750197	0.1037316815	-0.0619361641	-0.0657811299	-0.0565217569	0.0132737215	0.0537294505	0.0743852143	-0.0639673569	-0.0399142074	-0.0103485093	0.0323697071	0.0120077067	0.0116990002	0.0762292728	-0.0558161179	-0.0247193072	-0.0203893902	0.0259486757	0.0655809692	0.0858789936	-0.0495961376	-0.0081469544	0.0294044756	0.0058043029	0.0180002222	0.0030942206	-0.0522757941	-0.0412338008	-0.0244869786	-0.0309934627	0.0249320128	0.0384173663	-0.0752349143	0.0884931138	0.1403620318	-0.1225925713	0.0360534432	-0.2036883173	0.1132515384	-0.0592630662	0.1868398223	-0.2721114549	0.1155280545	-0.0589800109	0.0929657467	-0.0873999098	0.039343466	-0.0122774233	0.1092614575	-0.0672735058	0.0475516157	-0.0358807473	0.0308787344	-0.0572327841	0.0030945994	-0.0416145798	0.0300364291	-0.1108462403	0.093257781	-0.0090022294	0.1257924158	0.0726630726	-0.0127652572	0.0481959308	-0.098956681	0.0117004538	0.0987967413	-0.031881542	-0.0388563764	0.1162946966	0.0057453405	-0.1299023836	0.0917657372	0.0244439941	0.0038380698	0.056804246	-0.1270939226	0.0627970226	0.0434523439	0.022161051	-0.0464620004	-0.040623726	-0.0617648859	0.0288890557	0.0487293836	-0.033102487	-0.0555029258	-0.0045855137	0.0588203925	0.042487736	0.0495230325	-0.0800332283	-0.0789791357	0.0428720474	0.0501469951	0.0075987822	0.0259822725	0.0362919211	-0.1270886083	-0.036566469	0.0831859684	0.0104930443	0.0492075661	-0.0418287859	-0.0443544271	-0.0036835103	0.0400091999	0.0344529028	0.0063071325	0.0020835577	0.0197341324	-0.0272335296	0.1863180872	-0.0460259171	0.0696877916	-0.017148856	0.0944276821	-0.017312535	0.0069630987	-0.0666457284	0.0903165302	-0.0935661586	0.0044211994	-0.1273544222	0.0387087878	-0.0808614315	0.199527663	-0.0692404257	0.0131538002	-0.0709741705	0.0222745796	-0.0200591432	0.0571972965	-0.0044064902	-0.0431986649	0.102058657	0.1020484104	-0.00539939	n/a	n/a	2.9153412372099995e-05	-0.00331268	n/a	1.09738487824e-05	n/a	0.0621594	n/a	n/a	0.0038637910083599	0.0	n/a	n/a	0.0	-0.000369112	n/a	n/a	1.36243668544e-07	0.000390604	n/a	n/a	1.5257148481600002e-07
8626.054484923698	-9.433384946316435	74408815.97687224	88.98875154538956	6050.544650941383	-284.2347947368471	80789.4185390976	36609090.57303538	5836.911917913342	-3.161670962338576	34069540.73747881	9.996163274094936	5783.496557871088	7126.980618784662	1.148478	46.950001	0.04094342	0.0173771	-0.0663267936	-0.0664959418	-0.1000164427	-0.0171022183	-0.203929648	-0.0098979211	-0.1492601415	0.0122044753	-0.0659827618	-0.0751469649	-0.0305047538	0.0278528085	-0.0241459241	-0.2727174316	0.0687073344	-0.1764945691	0.1979108284	-0.0019944028	0.0430206427	-0.1974978915	0.100606147	-0.056726446	-0.0320221889	0.0407470945	0.1775460608	0.0414377959	-0.0521984708	0.1768991916	0.1530764388	0.042700537	0.0384205657	-0.1742463585	0.1408644935	0.071036672	-0.0592331427	0.1010622048	-0.1871178232	-0.0311500184	0.129191262	-0.1169013079	0.0406662603	-0.1341722577	0.072298488	-0.0160689673	-0.0104521087	-0.0068215382	-0.0492791897	-0.2100855058	0.0778056331	-0.0636532362	0.0406304061	-0.1425526937	-0.134712049	-0.1041673103	-0.0605330708	-0.0691155746	0.0456377684	0.0267662385	-0.0506068351	0.1386917328	0.0019178877	0.0598204392	-0.0657688162	0.0457155786	0.0686102475	0.097589969	-0.0123774824	0.0573175608	0.0659306409	-0.016475058	-0.0133861533	0.0129923726	0.1396399975	-0.1394511258	0.0280238841	-0.0980553133	-0.0720445957	-0.0065243598	0.0074753621	-0.0499487046	-0.0687402541	0.0110483444	0.011579725	-0.0562181992	0.0137834559	-0.064419724	0.086347628	0.0312274504	-0.0574673276	-0.025446781	-0.0120761804	0.0396627703	-0.0195111876	0.0650719482	0.0098038907	0.0925416917	0.0482584275	0.0785107833	0.0301656141	0.0398232881	0.0608342192	0.0710835116	-0.0266485076	0.1373394849	0.0380087998	0.0104812983	0.0750206845	-0.0089473106	-0.0017420226	0.0240839301	-0.0786401168	-0.0150251958	-0.0623034595	-0.1433579008	0.0384147404	-0.0048277336	0.1161171172	-0.1219492467	0.0943592054	-0.0245134159	0.0628636164	0.1307990515	0.2609957389	-0.1481663786	0.1515756463	-0.1106643761	0.0511721769	-0.1970255214	0.0419416741	-0.0017508508	-0.0902690489	-0.069949423	0.1080846695	-0.1975604134	0.0042139563	-0.0803684816	-0.000908312	-0.0120393056	0.0353188745	0.1212360105	-0.0334231535	-0.0295245039	0.061805535	0.0990243872	-0.0055596551	-0.0373617411	-0.1005596167	-0.0586440471	0.0782030061	0.0373170182	0.0212053204	0.006193431	-0.0030987369	-0.0363055763	0.0662915365	0.030893288	0.0580619039	0.0035636304	-0.0199442214	-0.0369991355	-0.0132647962	-0.0568641116	-0.0043572571	-0.035317777	-0.0343902999	0.0702678569	0.0675885852	0.007285523	-0.0407165351	-0.0692158124	-0.0110507825	-0.0872257397	0.0332975545	-0.1164451118	0.0043961127	-0.0450799902	0.0769665384	0.1025528299	-0.017607394	0.0556909258	-0.0913042218	-0.0081209885	0.0159530534	0.0737624233	-0.0717461007	0.0997051754	-0.0205970401	-0.0137718135	-0.0580168303	0.0338167694	-0.0009717666	-0.0405289023	0.0350391914	0.0702566229	0.3041615737	0.0324050986	0.0057514864	-0.0890313495	0.0577903577	0.088675238	0.0217549601	-0.0141000863	0.020997378	-0.2106408042	-0.1638888725	-0.0462558953	-0.0674212005	-0.1575878495	0.1347325398	0.0854122076	-0.0281864324	-0.1962240902	0.0170078154	0.0396437319	0.0264283156	-0.0320940041	0.0239704246	0.1020313334	0.1019391344	-0.0124685	-0.00706911	4.997231619210001e-05	0.00015546349225	0.00310638	0.00641906	9.6495967044e-06	4.1204331283600006e-05	0.0700888	0.0079294	6.287538436000016e-05	0.00491243988544	0.000260213	0.000260213	6.771080536900001e-08	6.771080536900001e-08	-0.0004435	-7.438799999999999e-05	5.533574543999999e-09	1.9669225e-07	0.00044652	5.5915999999999984e-05	3.126599055999998e-09	1.993801104e-07
8641.60838698427	15.553902060572	74677395.51399687	241.9238693098659	5959.273796562135	-91.2708543792478	8330.368859117856	35512944.18239209	5844.892221244516	7.980303331173673	34162765.07796465	63.68524125754162	5783.281342512904	7213.44679463214	1.104007	45.132011	0.0876156799999999	0.0429625	-0.0725696798	0.0514200078	-0.0942429743	0.0707261045	-0.1632924909	-0.1149956309	-0.0941239019	-0.009246292	0.0804827918	-0.0199121018	-0.0511131522	0.1252371498	-0.07759852	-0.0935869145	-0.030247212	0.030655529	0.0016344966	0.1335754921	-0.0002217811	-0.1769500006	-0.1110903535	-0.0713357145	-0.0006802171	0.0883645231	0.1344106383	0.0385214588	-0.0180453638	0.0970144642	0.1222299687	-0.0052494166	0.12060807	-0.0242648964	0.1248714544	-0.0824921177	-0.085095488	-0.034991195	-0.0803222317	-0.2515427507	0.0225831908	-0.0688433255	0.1815337148	-0.1290837477	-0.0223223428	0.091058765	-0.1253435011	-0.084447587	-0.1094083326	-0.0137212368	0.0392758333	0.0825725536	-0.1309157891	-0.1014639792	-0.0991988255	0.0377905799	-0.0611862411	0.0021085041	-0.0220102937	-0.1898429638	-0.003451971	-0.0220859578	0.0449620985	-0.005344251	-0.0273532458	0.1077319873	-0.070493125	0.0591304905	0.1043673289	-0.0124497868	-0.0164932341	-0.0358583791	-0.0179608894	-0.0844566661	-0.1029403539	0.0244080893	0.1129356171	0.0293842861	-0.0987977345	-0.1053608984	-0.0351518909	-0.1303720553	-0.0983295003	-0.0439267043	0.0869926975	-0.1187374015	-0.0528110783	0.0471664713	0.1199782295	0.0263033288	0.0060072454	0.0047047035	0.0440134195	0.056881192	0.0353024726	-0.0454179225	-0.0082756308	-0.0827382208	0.0550521823	0.0535880925	0.0472604149	-0.05207813	-0.027011418	-0.0928758367	-0.0098756739	-0.0963118386	-0.0384195941	0.0976125217	0.0485692564	-0.0204807763	0.0013665868	0.0237239233	0.1631350931	0.0796254274	-0.0054539949	0.0063645447	-0.047596781	-0.0866825821	-0.0182980356	0.1253513727	0.0060194325	0.0337273455	0.103107226	0.1170386135	0.2457665926	-0.0168921867	0.1797024076	0.0718505004	-0.0513961323	0.0833054166	-0.1117324223	-0.0106670002	-0.1039706234	-0.0989406981	0.0134635331	5.71146e-05	-0.0158833595	-0.0137683663	0.2296043712	-0.0693479986	-0.1914630088	0.089538993	-0.0841078406	-0.0003503665	-0.0023834177	0.058439986	-0.0367132793	0.0317158101	-0.0031887062	0.0232388941	0.0087981706	0.0752277342	-0.1119713565	0.0731904326	0.0046610157	0.1809209751	0.0212349102	0.0532215656	-0.1074071838	-0.1175397791	0.0110974122	-0.0768660555	-0.0047759534	-0.0378150918	0.0595207236	-0.0490848004	0.0551908733	-0.056186236	-0.0705927905	-0.0201099893	-0.0203490574	-0.0539532643	0.0740277286	-0.037601808	-0.1432635241	0.0912322516	0.0867662896	-0.0181312882	0.0480477786	0.0515797361	-0.070519311	-0.0472827064	0.1138004966	-0.0242189532	-0.0185611325	-0.006872426	0.0655354526	-0.023116463	0.0922015163	0.0736755143	0.0441236136	-0.0631369605	0.087050217	0.0346297039	-0.0326240176	-0.0588628556	0.2611419419	0.0062616272	-0.0861414955	0.0203020024	0.0936489467	0.1104682004	-0.0639875505	-0.0860291386	0.0754307476	-0.2607262183	-0.1026943264	0.0147172782	0.0204359718	-0.0732966474	0.0374854591	0.0534587016	-0.0746760916	0.1000840065	-0.1262522059	0.0177247603	0.1625563047	0.0129584855	0.1298142689	0.1019766936	0.1017206994	-0.0177436	-0.0052751	2.782668001000001e-05	0.00031483534096	-0.028498	-0.03160438	0.000812136004	0.0009988368351844	0.0855008	0.0154119999999999	0.0002375297439999	0.00731038680064	0.000668999	0.0004087859999999	1.6710599379599997e-07	4.47559662001e-07	-0.000471421	-2.7921000000000036e-05	7.795822410000019e-10	2.2223775924100002e-07	0.000176743	-0.000269777	7.2779629729e-08	3.1238088049e-08
8648.235421151177	6.627034166907833	74791975.89965388	43.9175818493638	5960.6460211445965	1.3722245824610582	1.8830003047104251	35529300.98938691	5856.1941219116325	11.30190066711657	34295009.59351236	127.73295868936997	5793.373701097437	7317.603493295065	1.067763	43.650349	0.11980092	0.0555883	-0.0700160954	0.051414185	0.0055643165	0.1823269214	-0.1217991154	0.0002650005	-0.0958785016	-0.0586919229	0.0213752874	0.0720163655	0.0393670961	-0.0397670278	-0.0556605146	0.036547027	-0.0093307332	-0.0366442954	-0.1399486131	0.0428114615	0.1844884134	-0.1081031987	0.0447546378	-0.1152447255	-0.0288551402	-0.0577416551	0.1032206367	0.0432896957	-0.0805477965	-0.0455136054	0.158920546	-0.0350621554	0.0256107346	0.138100677	0.0112875101	-0.0861422424	0.05927948	-0.1213069404	-0.0795579458	-0.1432434401	0.2597852673	-0.1262961711	0.1962142226	0.0858463573	-0.1048837571	0.0584448117	0.0578597823	-0.0310472167	-0.0368905863	0.0698728171	-0.0406384922	0.0189103166	-0.0148325864	0.0284611218	-0.0455929335	0.0480081057	0.0973449764	-0.0288770633	-0.0809544176	-0.0424184526	0.0441591872	0.0255518696	-0.1207251119	0.0194465887	-0.0764368395	0.0132210759	-0.0589274784	0.0420005669	-0.1304132762	0.0366004272	0.0280664211	0.1067633195	0.0262952901	0.0592635521	0.0017375692	0.0577789927	0.0556770777	-0.0086161615	0.0023729289	-0.1277687746	-0.0087962716	0.0530254142	0.1141963604	-0.0220914282	0.0654005348	0.0648814991	-0.0244337177	0.0252468599	-0.0494140522	0.0278343755	0.0245702528	0.0347856991	0.0422684305	0.019252135	-0.0236135718	-0.0963028226	0.0367679072	0.1001468535	-0.016469866	-0.0713511042	-0.1485810395	-0.0480539493	-0.0339896824	0.0029789056	-0.0445810595	-0.033691491	0.0581326956	-0.089448031	-0.0381866135	0.0646525046	-0.0904102213	-0.031480211	0.0167718963	-0.0858657919	0.1133077729	0.162614466	-0.0810684895	0.0160575609	-0.1189462732	-0.0025364184	-0.1307499387	-0.0500004139	0.0962803331	-0.0288965483	0.0845263102	-0.0159913739	0.3336057669	0.0222358501	0.0097462625	0.1654837176	-0.0545276767	-0.0071707463	-0.051521863	0.1432314693	0.0199257148	0.0946749476	-0.0222253836	-0.0377340708	-0.0596279974	0.0577420031	-0.127089379	0.0545219526	-0.0473908152	-0.0149665396	0.0631466803	-0.0196164349	0.0800312554	-0.037523878	0.0328074255	-0.0798204257	0.0819206596	0.0961151298	0.0071172738	-0.0267612678	0.0405360385	-0.0134391328	0.0257021782	-0.0132758817	-0.1026615342	-0.07097873	0.0008815199	0.1269596089	0.0544777688	-0.014556272	-0.0417945721	0.0233639637	0.1122432568	-0.0160997944	-0.0969449918	0.0511313192	-0.0240201945	0.1218547916	0.0440768079	-0.1000289198	-0.0060189859	0.0243061087	-0.0021455226	0.1025638716	-0.0617251665	-0.0373251216	0.1147519717	-0.0585731303	-0.0252178656	-0.024970222	-0.0125875219	-0.0143814551	-0.0094611923	0.0329216666	-0.1111946205	-0.1279487055	0.044433185	-0.0573299029	-0.049739587	-0.0425561	-0.0123806924	-0.1849006124	0.1942556535	-0.0085648142	-0.0033367317	0.1135033611	0.1389255871	-0.0091933948	0.029732736	0.0040740911	0.0965566676	-0.0631767085	-0.1052234029	-0.0393074979	0.0492568295	-0.0953367057	0.0146525038	0.0482347923	-0.0191550864	0.1142229561	0.0553525823	-0.0625648361	0.1130867015	0.1343859691	0.1082213153	0.1018947522	0.1013933394	-0.00290436	0.01483924	0.0002202030437776	8.4353070096e-06	-0.0713001	-0.0428021	0.00508370426001	0.00183201976441	0.0984977	0.0129968999999999	0.0001689194096099	0.00970179690529	0.00120543	0.000536431	2.87758217761e-07	1.4530614849e-06	-0.000148505	0.000322916	1.0427474305600001e-07	2.2053735025e-08	5.28364e-05	-0.0001239066	1.535284552356e-08	2.79168516496e-09
8646.086894680491	-2.1485264706861926	74754818.59036574	4.616165995239267	6011.004366686963	50.358345542366806	2535.9629657644145	36132173.49632974	5856.552074385923	0.3579524742908688	34299202.199994065	0.1281299738509551	5795.457267828047	7344.660178435031	1.056927	43.207382	0.1225333149999999	0.0647925	-0.0322319347	-0.0054431042	0.0796805599	0.0433916721	-0.2151869977	-0.029228628	-0.0242742522	-0.0636354017	-0.0478992208	-0.0268520613	-0.1039086699	-0.0247388702	0.0141450779	0.0591513907	-0.0074050164	0.0372791658	-0.0869993371	-0.0764763913	0.0054856532	-0.03164085	0.1081800225	-0.1125805084	-0.0921669487	-0.0725183518	-0.012430262	0.1772318634	-0.0023102289	0.0873065667	0.0171751764	0.0385420889	-0.0970379269	0.0363909269	0.1596758622	-0.0166585569	0.0919145699	0.0446304347	-0.059767282	-0.1150554218	0.158003511	0.0109616563	0.0891668583	0.1252432366	0.0586472391	-0.0401553143	0.0183498563	-0.1018965937	0.0225716321	0.0528520046	-0.096465905	-0.0551312684	0.1075325405	0.008858927	0.0250679613	0.1643562978	-0.0133866376	-0.1327064381	0.096389588	-0.0019517905	0.0027653305	-0.0596432608	0.0222145342	-0.0460781607	-0.0374545879	0.0599368125	-0.0445692103	0.0164103006	0.1752838401	-0.037959634	-0.0414112024	-0.029177568	-0.0298524461	0.0021111832	0.0178161794	0.0147902459	0.0159484301	-0.0128916696	-0.139915729	-0.0767140928	-0.0362794359	0.1098664818	0.0930244991	0.0462589354	-0.0543814221	0.0324880562	0.0874947942	0.0830676576	0.0434842956	0.0402836371	0.0125310445	-0.0419596954	0.0711369092	-0.0130699245	0.0011471369	0.095932712	-0.0764926402	-0.0219149795	-0.0778088087	0.2020092063	0.0299269324	-0.0261556403	-0.008324877	0.0160741771	0.0471415782	0.1160123525	0.0321871497	0.060633872	-0.0807041761	0.1080178985	-0.0102068009	0.0452925043	-0.0671139687	0.0342040353	0.0112116585	-0.2334928918	-0.0412079814	0.0816217467	0.0457717928	0.026592315	-0.0623834625	-0.0539937678	-0.0153311322	-0.0809134856	0.07466909	0.1178329277	0.1582558848	-0.0203229314	0.0935960176	0.118238603	0.0121932401	-0.0543333389	-0.0352446008	0.0230272049	0.0444615773	0.0015200465	-0.1059374213	-0.1332142349	-0.0578778652	0.0991652005	-0.0154850212	-0.0928371778	-0.0322791029	0.0124882612	-0.0348900699	-0.0035139883	-0.0725892965	0.0318656632	0.0768806904	0.005936264	-0.1230126781	-0.1108294074	-0.0631511264	-0.1299236302	-0.0264338792	0.0103472392	-0.0614146527	-0.0603239589	-0.0466013927	-0.0750910198	-0.0725174743	0.0273943269	0.0407511979	-0.0458291147	-0.0010508585	0.1023989629	-0.0022174154	0.1689250205	0.027225221	-0.0630896439	-0.0842890848	0.0772719265	-0.0909914592	-0.0164970615	0.0111266392	-0.1428274513	0.0596270619	-0.1100642066	0.0976036085	-0.0313928715	-0.1986937276	-0.0524595793	0.0171352458	0.0359783073	-0.0094155961	0.0401410798	-0.0673089747	0.1380461296	-0.041502518	0.0497778037	0.0265744185	-0.1121311805	0.0536508046	0.0403626416	0.001849795	-0.0638864049	0.1941765323	-0.0013577245	0.0947847696	0.0766505531	0.0519883734	-0.0870625549	-0.0069461452	-0.1175023351	0.0320628636	0.0201762612	0.0262992896	-0.1367516045	-0.0420367841	-0.029451013	0.0602805268	-0.046415856	-0.0636939372	0.1755503699	0.1203271723	-0.0070043473	-0.0279290154	0.0268018003	0.0418213685	0.101785531	0.1009574048	-0.00327252	-0.00036816	1.3554178560000013e-07	1.07093871504e-05	-0.0231248	0.0481753	0.00053475637504	0.00232085953009	0.0610322	-0.0374654999999999	0.0014036636902499	0.00372492943684	0.000562035	-0.000643395	4.1395712602500006e-07	3.15883341225e-07	-0.000206283	-5.7778e-05	3.338297284e-09	4.2552676089e-08	8.21505e-05	2.93141e-05	8.593164588099998e-10	6.7487046502499995e-09
